state,FIPS_state,year,renting_hh,filings_estimate,filings_ci_95_lower,filings_ci_95_upper,ind_filings_court_issued,ind_filings_court_issued_LT,hh_threat_estimate,hh_threat_95_lower,hh_threat_95_upper
Alabama,01,2000,478375,17636,17636,17636,1,0,16815,15968,17281
Alabama,01,2001,487658,18248,18248,18248,1,0,17329,16401,17849
Alabama,01,2002,496940,18748,18748,18748,1,0,17846,16928,18353
Alabama,01,2003,506223,19962,19962,19962,1,0,18975,17937,19530
Alabama,01,2004,515506,19828,19828,19828,1,0,18984,18074,19466
Alabama,01,2005,524789,18563,18563,18563,1,0,17902,17185,18284
Alabama,01,2006,534071,19337,19337,19337,1,0,18618,17874,19025
Alabama,01,2007,543354,18965,18965,18965,1,0,18247,17499,18651
Alabama,01,2008,552637,21081,21081,21081,1,0,20197,19244,20709
Alabama,01,2009,561919,20178,20178,20178,1,0,19316,18369,19820
Alabama,01,2010,571202,21035,21035,21035,1,0,20145,19168,20669
Alabama,01,2011,579881,22280,22280,22280,1,0,21320,20297,21873
Alabama,01,2012,588560,22633,22633,22633,1,0,21665,20624,22229
Alabama,01,2013,597239,23809,23809,23809,1,0,22736,21598,23354
Alabama,01,2014,605917,24159,24159,24159,1,0,23027,21806,23678
Alabama,01,2015,614596,24339,24339,24339,1,0,23137,21853,23833
Alabama,01,2016,623275,25191,25191,25191,1,0,23912,22562,24651
Alabama,01,2017,631954,25426,25426,25426,1,0,24159,22943,24795
Alabama,01,2018,640633,24251,21745,27006,0,,23078,20648,25736
Alaska,02,2000,83091,2022,1533,2650,0,,1865,1387,2443
Alaska,02,2001,84311,2324,1755,3045,0,,2113,1570,2753
Alaska,02,2002,85531,2402,1815,3146,0,,2190,1624,2909
Alaska,02,2003,86752,2386,1817,3127,0,,2182,1649,2821
Alaska,02,2004,87972,2379,1803,3139,0,,2209,1673,2913
Alaska,02,2005,89192,2517,1952,3282,0,,2340,1801,3002
Alaska,02,2006,90412,2706,2065,3537,0,,2499,1912,3230
Alaska,02,2007,91632,3152,3146,3169,0,,2875,2433,3088
Alaska,02,2008,92853,2771,2766,2789,0,,2545,2163,2721
Alaska,02,2009,94073,2815,2810,2831,0,,2583,2203,2764
Alaska,02,2010,95293,2555,2550,2573,0,,2366,2044,2515
Alaska,02,2011,96895,2713,2708,2732,0,,2505,2162,2668
Alaska,02,2012,98497,2715,2710,2732,0,,2505,2157,2669
Alaska,02,2013,100099,2774,2769,2792,0,,2557,2194,2727
Alaska,02,2014,101701,2890,2885,2907,0,,2656,2272,2838
Alaska,02,2015,103303,2889,2884,2906,0,,2631,2208,2830
Alaska,02,2016,104905,2885,2880,2902,0,,2642,2245,2829
Alaska,02,2017,106507,2927,2236,3804,0,,2684,2041,3489
